"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"8600000US01969","ZCTA5 01969","5856",
"8600000US01970","ZCTA5 01970","41109",
"8600000US01982","ZCTA5 01982","7764",
"8600000US01983","ZCTA5 01983","6089",
"8600000US01984","ZCTA5 01984","4875",
"8600000US01985","ZCTA5 01985","4235",
"8600000US02019","ZCTA5 02019","16332",
"8600000US02021","ZCTA5 02021","21561",
"8600000US02025","ZCTA5 02025","7542",
"8600000US02026","ZCTA5 02026","24711",
"8600000US02030","ZCTA5 02030","5589",
"8600000US02032","ZCTA5 02032","4226",
"8600000US02035","ZCTA5 02035","16865",
"8600000US02038","ZCTA5 02038","31635",
"8600000US02043","ZCTA5 02043","22157",
"8600000US02045","ZCTA5 02045","10293",
"8600000US02047","ZCTA5 02047","180",
"8600000US02048","ZCTA5 02048","23184",
"8600000US02050","ZCTA5 02050","25429",
"8600000US02052","ZCTA5 02052","12024",
"8600000US02053","ZCTA5 02053","12752",
"8600000US02054","ZCTA5 02054","7891",
"8600000US02056","ZCTA5 02056","10981",
"8600000US02061","ZCTA5 02061","10506",
"8600000US02062","ZCTA5 02062","28602",
"8600000US02066","ZCTA5 02066","17656",
"8600000US02067","ZCTA5 02067","17486",
"8600000US02071","ZCTA5 02071","1707",
"8600000US02072","ZCTA5 02072","26999",
"8600000US02081","ZCTA5 02081","18472",
"8600000US02090","ZCTA5 02090","14636",
"8600000US02093","ZCTA5 02093","10955",
"8600000US02108","ZCTA5 02108","3825",
"8600000US02109","ZCTA5 02109","3771",
"8600000US02110","ZCTA5 02110","1733",
"8600000US02111","ZCTA5 02111","7383",
"8600000US02113","ZCTA5 02113","6915",
"8600000US02114","ZCTA5 02114","11999",
"8600000US02115","ZCTA5 02115","28441",
"8600000US02116","ZCTA5 02116","20628",
"8600000US02118","ZCTA5 02118","26498",
"8600000US02119","ZCTA5 02119","25346",
"8600000US02120","ZCTA5 02120","15181",
"8600000US02121","ZCTA5 02121","25978",
"8600000US02122","ZCTA5 02122","23479",
"8600000US02124","ZCTA5 02124","47783",
"8600000US02125","ZCTA5 02125","33295",
"8600000US02126","ZCTA5 02126","25562",
"8600000US02127","ZCTA5 02127","31799",
"8600000US02128","ZCTA5 02128","40508",
"8600000US02129","ZCTA5 02129","16439",
"8600000US02130","ZCTA5 02130","35401",
"8600000US02131","ZCTA5 02131","29826",
"8600000US02132","ZCTA5 02132","25861",
"8600000US02134","ZCTA5 02134","21503",
"8600000US02135","ZCTA5 02135","42780",
"8600000US02136","ZCTA5 02136","28488",
"8600000US02138","ZCTA5 02138","36314",
"8600000US02139","ZCTA5 02139","36349",
"8600000US02140","ZCTA5 02140","17607",
"8600000US02141","ZCTA5 02141","11910",
"8600000US02142","ZCTA5 02142","3141",
"8600000US02143","ZCTA5 02143","24514",
"8600000US02144","ZCTA5 02144","23891",
"8600000US02145","ZCTA5 02145","25439",
"8600000US02148","ZCTA5 02148","59503",
"8600000US02149","ZCTA5 02149","41550",
"8600000US02150","ZCTA5 02150","35124",
"8600000US02151","ZCTA5 02151","51808",
"8600000US02152","ZCTA5 02152","17497",
"8600000US02155","ZCTA5 02155","57964",
"8600000US02163","ZCTA5 02163","2582",
"8600000US02169","ZCTA5 02169","55055",
"8600000US02170","ZCTA5 02170","19505",
"8600000US02171","ZCTA5 02171","17711",
"8600000US02176","ZCTA5 02176","26983",
"8600000US02180","ZCTA5 02180","21437",
"8600000US02184","ZCTA5 02184","35744",
"8600000US02186","ZCTA5 02186","27003",
"8600000US02188","ZCTA5 02188","14608",
"8600000US02189","ZCTA5 02189","14559",
"8600000US02190","ZCTA5 02190","16119",
"8600000US02191","ZCTA5 02191","8457",
"8600000US02199","ZCTA5 02199","1146",
"8600000US02203","ZCTA5 02203","0",
"8600000US02210","ZCTA5 02210","2090",
"8600000US02215","ZCTA5 02215","26125",
"8600000US02301","ZCTA5 02301","61025",
"8600000US02302","ZCTA5 02302","32741",
"8600000US02322","ZCTA5 02322","4356",
"8600000US02324","ZCTA5 02324","26563",
"8600000US02330","ZCTA5 02330","11509",
"8600000US02332","ZCTA5 02332","15059",
"8600000US02333","ZCTA5 02333","13794",
"8600000US02338","ZCTA5 02338","7518",
"8600000US02339","ZCTA5 02339","13879",
"8600000US02341","ZCTA5 02341","10218",
"8600000US02343","ZCTA5 02343","10745",
"8600000US02346","ZCTA5 02346","23106",
"8600000US02347","ZCTA5 02347","10612",
"8600000US02351","ZCTA5 02351","16029",
"8600000US02356","ZCTA5 02356","12564",
"8600000US02357","ZCTA5 02357","1360",
"8600000US02359","ZCTA5 02359","17828",
"8600000US02360","ZCTA5 02360","56271",
"8600000US02364","ZCTA5 02364","12629",
"8600000US02366","ZCTA5 02366","197",
"8600000US02367","ZCTA5 02367","2820",
"8600000US02368","ZCTA5 02368","32158",
"8600000US02370","ZCTA5 02370","17489",
"8600000US02375","ZCTA5 02375","9188",
"8600000US02379","ZCTA5 02379","6916",
"8600000US02382","ZCTA5 02382","14489",
"8600000US02420","ZCTA5 02420","14052",
"8600000US02421","ZCTA5 02421","17342",
"8600000US02445","ZCTA5 02445","20679",
"8600000US02446","ZCTA5 02446","29311",
"8600000US02451","ZCTA5 02451","17426",
"8600000US02452","ZCTA5 02452","14238",
"8600000US02453","ZCTA5 02453","28968",
"8600000US02457","ZCTA5 02457","1432",
"8600000US02458","ZCTA5 02458","12131",
"8600000US02459","ZCTA5 02459","19095",
"8600000US02460","ZCTA5 02460","8742",
"8600000US02461","ZCTA5 02461","7059",
"8600000US02462","ZCTA5 02462","1554",
"8600000US02464","ZCTA5 02464","2953",
"8600000US02465","ZCTA5 02465","11710",
"8600000US02466","ZCTA5 02466","8096",
"8600000US02467","ZCTA5 02467","22491",
"8600000US02468","ZCTA5 02468","5273",
"8600000US02472","ZCTA5 02472","32014",
"8600000US02474","ZCTA5 02474","26312",
"8600000US02476","ZCTA5 02476","16532",
"8600000US02478","ZCTA5 02478","24664",
"8600000US02481","ZCTA5 02481","16244",
"8600000US02482","ZCTA5 02482","10306",
"8600000US02492","ZCTA5 02492","19931",
"8600000US02493","ZCTA5 02493","11261",
"8600000US02494","ZCTA5 02494","8955",
"8600000US02532","ZCTA5 02532","12690",
"8600000US02534","ZCTA5 02534","842",
"8600000US02535","ZCTA5 02535","1177",
"8600000US02536","ZCTA5 02536","19583",
"8600000US02537","ZCTA5 02537","6293",
"8600000US02538","ZCTA5 02538","3603",
"8600000US02539","ZCTA5 02539","4067",
"8600000US02540","ZCTA5 02540","8221",
"8600000US02542","ZCTA5 02542","1139",
"8600000US02543","ZCTA5 02543","635",
"8600000US02553","ZCTA5 02553","226",
"8600000US02554","ZCTA5 02554","9852",
"8600000US02556","ZCTA5 02556","3115",
"8600000US02557","ZCTA5 02557","4491",
"8600000US02558","ZCTA5 02558","2156",
"8600000US02559","ZCTA5 02559","3376",
"8600000US02561","ZCTA5 02561","539",
"8600000US02562","ZCTA5 02562","2977",
"8600000US02563","ZCTA5 02563","10359",
"8600000US02564","ZCTA5 02564","310",
"8600000US02568","ZCTA5 02568","4000",
"8600000US02571","ZCTA5 02571","10481",
"8600000US02575","ZCTA5 02575","2725",
"8600000US02576","ZCTA5 02576","3754",
"8600000US02584","ZCTA5 02584","10",
"8600000US02601","ZCTA5 02601","14089",
"8600000US02630","ZCTA5 02630","1850",
"8600000US02631","ZCTA5 02631","9679",
"8600000US02632","ZCTA5 02632","10742",
"8600000US02633","ZCTA5 02633","3884",
"8600000US02635","ZCTA5 02635","3296",
"8600000US02637","ZCTA5 02637","253",
"8600000US02638","ZCTA5 02638","3207",
"8600000US02639","ZCTA5 02639","2875",
"8600000US02641","ZCTA5 02641","532",
"8600000US02642","ZCTA5 02642","4937",
"8600000US02643","ZCTA5 02643","26",
"8600000US02644","ZCTA5 02644","3955",
"8600000US02645","ZCTA5 02645","9663",
"8600000US02646","ZCTA5 02646","1676",
"8600000US02647","ZCTA5 02647","129",
"8600000US02648","ZCTA5 02648","7301",
"8600000US02649","ZCTA5 02649","14006",
"8600000US02650","ZCTA5 02650","848",
"8600000US02651","ZCTA5 02651","16",
"8600000US02652","ZCTA5 02652","1175",
"8600000US02653","ZCTA5 02653","5911",
"8600000US02655","ZCTA5 02655","3518",
"8600000US02657","ZCTA5 02657","2942",
"8600000US02659","ZCTA5 02659","1108",
"8600000US02660","ZCTA5 02660","6261",
"8600000US02663","ZCTA5 02663","173",
"8600000US02664","ZCTA5 02664","9371",
"8600000US02666","ZCTA5 02666","828",
"8600000US02667","ZCTA5 02667","2580",
"8600000US02668","ZCTA5 02668","3278",
"8600000US02669","ZCTA5 02669","285",
"8600000US02670","ZCTA5 02670","1307",
"8600000US02671","ZCTA5 02671","1023",
"8600000US02672","ZCTA5 02672","180",
"8600000US02673","ZCTA5 02673","8402",
