ZIP,SCHOOL_YEAR,school_count,abs_change,pct_growth
02361,1718,0.0,0.0,0.0
02364,1718,4.0,0.0,0.0
02367,1718,1.0,0.0,0.0
02368,1718,6.0,0.0,0.0
02370,1718,5.0,0.0,0.0
02375,1718,2.0,0.0,0.0
02379,1718,4.0,0.0,0.0
02382,1718,4.0,0.0,0.0
02420,1718,5.0,0.0,0.0
02421,1718,6.0,0.0,0.0
02445,1718,6.0,0.0,0.0
02446,1718,3.0,0.0,0.0
02451,1718,2.0,0.0,0.0
02452,1718,3.0,0.0,0.0
02453,1718,5.0,0.0,0.0
02458,1718,4.0,0.0,0.0
02459,1718,7.0,0.0,0.0
02460,1718,4.0,0.0,0.0
02461,1718,1.0,0.0,0.0
02465,1718,2.0,0.0,0.0
02466,1718,2.0,0.0,0.0
02467,1718,3.0,0.0,0.0
02468,1718,2.0,0.0,0.0
02472,1718,5.0,0.0,0.0
02474,1718,3.0,0.0,0.0
02476,1718,5.0,0.0,0.0
02478,1718,6.0,0.0,0.0
02481,1718,6.0,0.0,0.0
02482,1718,3.0,0.0,0.0
02492,1718,5.0,0.0,0.0
02493,1718,5.0,0.0,0.0
02494,1718,3.0,0.0,0.0
02532,1718,5.0,0.0,0.0
02535,1718,1.0,0.0,0.0
02536,1718,2.0,0.0,0.0
02537,1718,3.0,0.0,0.0
02539,1718,1.0,0.0,0.0
02540,1718,4.0,0.0,0.0
02554,1718,4.0,0.0,0.0
02556,1718,1.0,0.0,0.0
02557,1718,2.0,0.0,0.0
02568,1718,1.0,0.0,0.0
02571,1718,4.0,0.0,0.0
02575,1718,2.0,0.0,0.0
02576,1718,1.0,0.0,0.0
02601,1718,6.0,0.0,0.0
02631,1718,2.0,0.0,0.0
02632,1718,1.0,0.0,0.0
02633,1718,2.0,0.0,0.0
02642,1718,1.0,0.0,0.0
02644,1718,1.0,0.0,0.0
02645,1718,4.0,0.0,0.0
02648,1718,2.0,0.0,0.0
02649,1718,4.0,0.0,0.0
02651,1718,1.0,0.0,0.0
02653,1718,2.0,0.0,0.0
02657,1718,1.0,0.0,0.0
02660,1718,1.0,0.0,0.0
02664,1718,2.0,0.0,0.0
02666,1718,1.0,0.0,0.0
02667,1718,1.0,0.0,0.0
02668,1718,1.0,0.0,0.0
02670,1718,1.0,0.0,0.0
02673,1718,2.0,0.0,0.0
02703,1718,11.0,0.0,0.0
02713,1718,1.0,0.0,0.0
02715,1718,3.0,0.0,0.0
02717,1718,1.0,0.0,0.0
02718,1718,2.0,0.0,0.0
02719,1718,4.0,0.0,0.0
02720,1718,10.0,0.0,0.0
02721,1718,4.0,0.0,0.0
02723,1718,3.0,0.0,0.0
02724,1718,5.0,0.0,0.0
02726,1718,5.0,0.0,0.0
02738,1718,1.0,0.0,0.0
02739,1718,4.0,0.0,0.0
02740,1718,14.0,0.0,0.0
02743,1718,2.0,0.0,0.0
02744,1718,4.0,0.0,0.0
02745,1718,7.0,0.0,0.0
02746,1718,4.0,0.0,0.0
02747,1718,3.0,0.0,0.0
02748,1718,3.0,0.0,0.0
02760,1718,8.0,0.0,0.0
02762,1718,2.0,0.0,0.0
02764,1718,1.0,0.0,0.0
02766,1718,5.0,0.0,0.0
02767,1718,3.0,0.0,0.0
02769,1718,2.0,0.0,0.0
02770,1718,2.0,0.0,0.0
02771,1718,4.0,0.0,0.0
02777,1718,6.0,0.0,0.0
02779,1718,2.0,0.0,0.0
02780,1718,12.0,0.0,0.0
02790,1718,3.0,0.0,0.0
02804,1718,1.0,0.0,0.0
02806,1718,6.0,0.0,0.0
02807,1718,1.0,0.0,0.0
02808,1718,1.0,0.0,0.0
02809,1718,4.0,0.0,0.0
02813,1718,1.0,0.0,0.0
02814,1718,1.0,0.0,0.0
02815,1718,1.0,0.0,0.0
02816,1718,8.0,0.0,0.0
02817,1718,4.0,0.0,0.0
02818,1718,6.0,0.0,0.0
02822,1718,2.0,0.0,0.0
02825,1718,1.0,0.0,0.0
02828,1718,1.0,0.0,0.0
02830,1718,4.0,0.0,0.0
02831,1718,1.0,0.0,0.0
02832,1718,1.0,0.0,0.0
02835,1718,2.0,0.0,0.0
02837,1718,1.0,0.0,0.0
02838,1718,1.0,0.0,0.0
02840,1718,4.0,0.0,0.0
02842,1718,6.0,0.0,0.0
02852,1718,8.0,0.0,0.0
02857,1718,6.0,0.0,0.0
02859,1718,1.0,0.0,0.0
02860,1718,12.0,0.0,0.0
02861,1718,6.0,0.0,0.0
02863,1718,10.0,0.0,0.0
02864,1718,12.0,0.0,0.0
02865,1718,8.0,0.0,0.0
02871,1718,4.0,0.0,0.0
02874,1718,1.0,0.0,0.0
02876,1718,1.0,0.0,0.0
02878,1718,5.0,0.0,0.0
02879,1718,7.0,0.0,0.0
02881,1718,1.0,0.0,0.0
02882,1718,3.0,0.0,0.0
02885,1718,2.0,0.0,0.0
02886,1718,11.0,0.0,0.0
02888,1718,5.0,0.0,0.0
02889,1718,6.0,0.0,0.0
02891,1718,6.0,0.0,0.0
02892,1718,1.0,0.0,0.0
02893,1718,6.0,0.0,0.0
02894,1718,4.0,0.0,0.0
02895,1718,15.0,0.0,0.0
02896,1718,3.0,0.0,0.0
02898,1718,1.0,0.0,0.0
02903,1718,9.0,0.0,0.0
02904,1718,7.0,0.0,0.0
02905,1718,13.0,0.0,0.0
02906,1718,3.0,0.0,0.0
02907,1718,9.0,0.0,0.0
02908,1718,8.0,0.0,0.0
02909,1718,14.0,0.0,0.0
02910,1718,8.0,0.0,0.0
02911,1718,4.0,0.0,0.0
02914,1718,8.0,0.0,0.0
02915,1718,3.0,0.0,0.0
02916,1718,1.0,0.0,0.0
02917,1718,5.0,0.0,0.0
02919,1718,9.0,0.0,0.0
02920,1718,13.0,0.0,0.0
02921,1718,2.0,0.0,0.0
03031,1718,3.0,0.0,0.0
03032,1718,1.0,0.0,0.0
03033,1718,2.0,0.0,0.0
03034,1718,1.0,0.0,0.0
03036,1718,1.0,0.0,0.0
03037,1718,1.0,0.0,0.0
03038,1718,10.0,0.0,0.0
03042,1718,3.0,0.0,0.0
03043,1718,1.0,0.0,0.0
03044,1718,1.0,0.0,0.0
03045,1718,4.0,0.0,0.0
03046,1718,1.0,0.0,0.0
03047,1718,1.0,0.0,0.0
03048,1718,1.0,0.0,0.0
03049,1718,4.0,0.0,0.0
03051,1718,5.0,0.0,0.0
03052,1718,3.0,0.0,0.0
03053,1718,6.0,0.0,0.0
03054,1718,7.0,0.0,0.0
03055,1718,4.0,0.0,0.0
03057,1718,1.0,0.0,0.0
03060,1718,9.0,0.0,0.0
03062,1718,5.0,0.0,0.0
03063,1718,5.0,0.0,0.0
03064,1718,3.0,0.0,0.0
03070,1718,1.0,0.0,0.0
03071,1718,3.0,0.0,0.0
03076,1718,3.0,0.0,0.0
03077,1718,3.0,0.0,0.0
03079,1718,9.0,0.0,0.0
03082,1718,1.0,0.0,0.0
03084,1718,1.0,0.0,0.0
03086,1718,3.0,0.0,0.0
03087,1718,6.0,0.0,0.0
03101,1718,1.0,0.0,0.0
03102,1718,7.0,0.0,0.0
03103,1718,12.0,0.0,0.0
03104,1718,6.0,0.0,0.0
03105,1718,2.0,0.0,0.0
03106,1718,3.0,0.0,0.0
03109,1718,3.0,0.0,0.0
03110,1718,6.0,0.0,0.0
03215,1718,1.0,0.0,0.0
03216,1718,1.0,0.0,0.0
03217,1718,1.0,0.0,0.0
03220,1718,3.0,0.0,0.0
03221,1718,2.0,0.0,0.0
03222,1718,4.0,0.0,0.0
03223,1718,1.0,0.0,0.0
