ZIP,raw_incident_count,active_agencies,incidents_per_agency,YEAR
05661,141,1,141.0,2017
05663,135,1,135.0,2017
05671,441,3,147.0,2017
05672,132,1,132.0,2017
05678,188,1,188.0,2017
05701,1346,2,673.0,2017
05702,50,1,50.0,2017
05733,117,1,117.0,2017
05735,33,1,33.0,2017
05736,48,1,48.0,2017
05743,99,1,99.0,2017
05753,9,1,9.0,2017
05819,933,3,311.0,2017
05829,476,1,476.0,2017
05843,113,1,113.0,2017
05846,18,1,18.0,2017
05851,44,1,44.0,2017
05855,256,2,128.0,2017
05903,8,1,8.0,2017
05905,43,1,43.0,2017
06001,290,1,290.0,2017
06002,1016,1,1016.0,2017
06010,2028,1,2028.0,2017
06019,111,1,111.0,2017
06033,803,1,803.0,2017
06035,198,1,198.0,2017
06037,708,1,708.0,2017
06050,88,1,88.0,2017
06066,705,1,705.0,2017
06067,496,1,496.0,2017
06070,361,1,361.0,2017
06074,284,1,284.0,2017
06078,222,1,222.0,2017
06085,765,1,765.0,2017
06088,629,1,629.0,2017
06095,1172,1,1172.0,2017
06096,417,1,417.0,2017
06098,277,1,277.0,2017
06106,3,1,3.0,2017
06107,2840,1,2840.0,2017
06108,2794,1,2794.0,2017
06109,701,1,701.0,2017
06111,1328,1,1328.0,2017
06226,601,2,300.5,2017
06238,250,1,250.0,2017
06260,371,1,371.0,2017
06269,587,1,587.0,2017
06320,1848,1,1848.0,2017
06338,373,1,373.0,2017
06340,1615,2,807.5,2017
06357,129,1,129.0,2017
06374,261,1,261.0,2017
06379,585,1,585.0,2017
06382,395,1,395.0,2017
06385,700,1,700.0,2017
06401,838,1,838.0,2017
06405,1062,1,1062.0,2017
06410,323,1,323.0,2017
06413,573,1,573.0,2017
06416,437,1,437.0,2017
06418,721,1,721.0,2017
06424,164,1,164.0,2017
06430,1348,1,1348.0,2017
06437,464,1,464.0,2017
06443,159,1,159.0,2017
06457,8684,2,4342.0,2017
06468,296,1,296.0,2017
06470,156,1,156.0,2017
06471,368,1,368.0,2017
06473,751,1,751.0,2017
06475,209,1,209.0,2017
06477,574,1,574.0,2017
06483,364,1,364.0,2017
06484,874,1,874.0,2017
06489,1573,1,1573.0,2017
06492,1083,1,1083.0,2017
06512,1384,1,1384.0,2017
06515,89,1,89.0,2017
06516,2346,1,2346.0,2017
06518,1925,1,1925.0,2017
06519,14059,1,14059.0,2017
06525,142,1,142.0,2017
06611,1358,1,1358.0,2017
